🔧 Running setup: setup.sh
Using source file: /Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/Main.java
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/Main.java'], returncode=0, stdout=b'"error: incompatible types: int cannot be converted to Float" found exactly 1 times and no other errors present.\nPattern matched successfully.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'gJaQA.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 5\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'O5Z8y.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 5\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'rhqkR.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 6\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'pBiy4.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 5\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'whSiP.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 5\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'oQTVs.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 5\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'X3KBh.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'etg71.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', '7SoIZ.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 4\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', '89dgF.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 6\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'YcakV.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 6\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'ofGxy.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 6\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'NrM6o.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 6\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'XgVnP.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 6\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'UgeVD.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'zZGgJ.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'XTajE.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'okBPE.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 0\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'vHoi0.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 1\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', '6Hze1.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 0\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', '1XmKx.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 1\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', '0Jdjg.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 0\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'QlIVW.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'NvK9e.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'FQjhZ.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', '20t1m.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', '2zyiJ.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'xlpoz.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 2\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'UbHi8.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'CzPbN.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'PsB1W.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'w8jEm.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'MWRwo.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'dIOWP.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'l3mXh.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'emfTO.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 1 times.\nTotal compiler errors found: 3\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'KRoCx.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 16\nPattern mismatch.\n', stderr=b'')
CompletedProcess(args=['bash', '/Users/artemancikov/Desktop/practical-work-new/reducer/generator_modified/iter_1/run.sh', 'UToHr.java'], returncode=1, stdout=b'"error: incompatible types: int cannot be converted to Float" expected 1 times, but found 0 times.\nTotal compiler errors found: 16\nPattern mismatch.\n', stderr=b'')
